state,arm,eta,foot,j1,d,sat
W M0.78,S3,0.44,0.329806977351343,0.3975518828115314,-0.06774490546018841,0
W M0.78,S3,0.65,0.3309865929536707,0.35986938579084743,-0.028882792837176707,0
W M0.78,S3,0.8,0.2857509785347183,0.29573910690159105,-0.00998812836687274,0
W M0.78,S3,0.9,0.2506719044554258,0.2335662222796183,0.01710568217580752,0
W M0.78,S3,0.96,0.20228103212804013,0.17069770758907693,0.0315833245389632,0
W M0.78,S3,0.99,0.1561843297661347,0.10914388443267178,0.04704044533346291,0
W M0.80,P0,0.2,0.5570595183598465,0.5481954261749326,0.008864092184913908,0
W M0.80,P0,0.44,0.4969772627907579,0.4934961704324939,0.003481092358263993,0
W M0.80,P0,0.65,0.45265681488503884,0.4374580906257188,0.015198724259320062,0
W M0.80,P0,0.8,0.9783472120176484,0.3726151229072277,0.6057320891104208,1
W M0.80,P0,0.9,0.3348532756083735,0.32530423258049546,0.009549043027878068,0
W M0.80,P0,0.96,0.9856717028026137,0.20165859521533813,0.7840131075872756,1
W M0.80,P0,0.99,0.9811729250069775,0.1429470944273265,0.838225830579651,1
W M0.80,P1,0.2,0.54076169060975,0.5481954261749326,-0.007433735565182564,0
W M0.80,P1,0.44,0.4969772627907579,0.4934961704324939,0.003481092358263993,0
W M0.80,P1,0.65,0.4524529411303098,0.4374580906257188,0.01499485050459104,0
W M0.80,P1,0.8,0.37766694670288886,0.3726151229072277,0.005051823795661159,0
W M0.80,P1,0.9,0.33435548768170376,0.32530423258049546,0.0090512551012083,0
W M0.80,P1,0.96,0.9856717028026137,0.20165859521533813,0.7840131075872756,1
W M0.80,P1,0.99,0.9738007765786793,0.1429470944273265,0.8308536821513528,1
W M0.80,P2,0.2,0.5400553450861556,0.5481954261749326,-0.008140081088776951,0
W M0.80,P2,0.44,0.4702052458186443,0.4934961704324939,-0.023290924613849573,0
W M0.80,P2,0.65,0.42215031411149917,0.4374580906257188,-0.015307776514219607,0
W M0.80,P2,0.8,0.37766694670288886,0.3726151229072277,0.005051823795661159,0
W M0.80,P2,0.9,0.31291896755806053,0.32530423258049546,-0.012385265022434921,0
W M0.80,P2,0.96,0.2261231384956011,0.20165859521533813,0.024464543280262957,0
W M0.80,P2,0.99,0.9681209873524655,0.1429470944273265,0.8251738929251391,1
W M0.80,P3,0.2,0.5400553450861556,0.5481954261749326,-0.008140081088776951,0
W M0.80,P3,0.44,0.4746372935502178,0.4934961704324939,-0.01885887688227611,0
W M0.80,P3,0.65,0.43491516932948326,0.4374580906257188,-0.002542921296235512,0
W M0.80,P3,0.8,0.364595778816783,0.3726151229072277,-0.008019344090444691,0
W M0.80,P3,0.9,0.31291896755806053,0.32530423258049546,-0.012385265022434921,0
W M0.80,P3,0.96,0.2261231384956011,0.20165859521533813,0.024464543280262957,0
W M0.80,P3,0.99,0.18871062489106002,0.1429470944273265,0.04576353046373352,0
W M0.80,S1,0.2,0.54076169060975,0.5481954261749326,-0.007433735565182564,0
W M0.80,S1,0.44,0.4969772627907579,0.4934961704324939,0.003481092358263993,0
W M0.80,S1,0.65,0.4524529411303098,0.4374580906257188,0.01499485050459104,0
W M0.80,S1,0.8,0.364595778816783,0.3726151229072277,-0.008019344090444691,0
W M0.80,S1,0.9,0.3348532756083735,0.32530423258049546,0.009549043027878068,0
W M0.80,S1,0.96,0.9856717028026137,0.20165859521533813,0.7840131075872756,1
W M0.80,S1,0.99,0.9785004028722927,0.1429470944273265,0.8355533084449662,1
W M0.80,S2,0.2,0.5400553450861556,0.5481954261749326,-0.008140081088776951,0
W M0.80,S2,0.44,0.4746372935502178,0.4934961704324939,-0.01885887688227611,0
W M0.80,S2,0.65,0.43491516932948326,0.4374580906257188,-0.002542921296235512,0
W M0.80,S2,0.8,0.364595778816783,0.3726151229072277,-0.008019344090444691,0
W M0.80,S2,0.9,0.3348532756083735,0.32530423258049546,0.009549043027878068,0
W M0.80,S2,0.96,0.9856717028026137,0.20165859521533813,0.7840131075872756,1
W M0.80,S2,0.99,0.9753346931603681,0.1429470944273265,0.8323875987330416,1
W M0.80,S3,0.2,0.5400553450861556,0.5481954261749326,-0.008140081088776951,0
W M0.80,S3,0.44,0.4591305203233057,0.4934961704324939,-0.034365650109188184,0
W M0.80,S3,0.65,0.43491516932948326,0.4374580906257188,-0.002542921296235512,0
W M0.80,S3,0.8,0.364595778816783,0.3726151229072277,-0.008019344090444691,0
W M0.80,S3,0.9,0.3201102711796227,0.32530423258049546,-0.005193961400872749,0
W M0.80,S3,0.96,0.22587270975334017,0.20165859521533813,0.02421411453800204,0
W M0.80,S3,0.99,0.18871062489106002,0.1429470944273265,0.04576353046373352,0
W M0.82,P0,0.2,0.6139075607811839,0.6203257000274321,-0.006418139246248233,0
W M0.82,P0,0.44,0.543394155618494,0.5545803009717839,-0.011186145353289878,0
W M0.82,P0,0.65,0.5276238154467355,0.5255158125965869,0.0021080028501486714,0
W M0.82,P0,0.8,0.9841854235306934,0.46531710410110644,0.5188683194295869,1
W M0.82,P0,0.9,0.4097424969481016,0.37282630329915506,0.03691619364894655,0
W M0.82,P0,0.96,0.9856717028026137,0.2890955799193211,0.6965761228832926,1
W M0.82,P0,0.99,0.9811729250069775,0.2236815095254519,0.7574914154815255,1
W M0.82,P1,0.2,0.6230957912177779,0.6203257000274321,0.0027700911903457692,0
W M0.82,P1,0.44,0.5484259171423621,0.5545803009717839,-0.0061543838294217945,0
W M0.82,P1,0.65,0.5276238154467355,0.5255158125965869,0.0021080028501486714,0
W M0.82,P1,0.8,0.4590256635502404,0.46531710410110644,-0.0062914405508660565,0
W M0.82,P1,0.9,0.3767209718996567,0.37282630329915506,0.0038946686005016384,0
W M0.82,P1,0.96,0.9856717028026137,0.2890955799193211,0.6965761228832926,1
W M0.82,P1,0.99,0.9753346931603681,0.2236815095254519,0.7516531836349163,1
W M0.82,P2,0.2,0.6139075607811839,0.6203257000274321,-0.006418139246248233,0
W M0.82,P2,0.44,0.5484259171423621,0.5545803009717839,-0.0061543838294217945,0
W M0.82,P2,0.65,0.5276238154467355,0.5255158125965869,0.0021080028501486714,0
W M0.82,P2,0.8,0.4358361934606343,0.46531710410110644,-0.029480910640472147,0
W M0.82,P2,0.9,0.3767209718996567,0.37282630329915506,0.0038946686005016384,0
W M0.82,P2,0.96,0.30210244038427064,0.2890955799193211,0.013006860464949532,0
W M0.82,P2,0.99,0.9692655512600036,0.2236815095254519,0.7455840417345516,1
W M0.82,P3,0.2,0.6139075607811839,0.6203257000274321,-0.006418139246248233,0
