leg,nx,C,x,flux_over_mdot
regular,160,1.5,1.0375,1.05429
regular,160,1.5,1.0625,1.05429
regular,160,1.5,1.0875,1.05429
regular,160,1.5,1.1125,1.05429
regular,160,1.5,1.1375,1.05429
regular,160,1.5,1.1625,1.05429
regular,160,1.5,1.1875,1.05429
regular,160,1.5,1.2125,1.05429
regular,160,1.5,1.2375,1.05429
regular,160,1.5,1.2625,1.05429
regular,160,1.5,1.2875,1.05429
regular,160,1.5,1.3125,1.05429
regular,160,1.5,1.3375,1.05429
regular,160,1.5,1.3625,1.05429
regular,160,1.5,1.3875,1.05429
regular,160,1.5,1.4125,1.05429
regular,160,1.5,1.4375,1.05429
regular,160,1.5,1.4625,1.05429
regular,160,1.5,1.4875,1.05429
regular,160,1.5,1.5125,1.05429
regular,160,1.5,1.5375,1.05429
regular,160,1.5,1.5625,1.05429
regular,160,1.5,1.5875,1.05429
regular,160,1.5,1.6125,1.05429
regular,160,1.5,1.6375,1.05429
regular,160,1.5,1.6625,1.05429
regular,160,1.5,1.6875,1.05429
regular,160,1.5,1.7125,1.05429
regular,160,1.5,1.7375,1.05429
regular,160,1.5,1.7625,1.05429
regular,160,1.5,1.7875,1.05429
regular,160,1.5,1.8125,1.054289
regular,160,1.5,1.8375,1.054289
regular,160,1.5,1.8625,1.054289
regular,160,1.5,1.8875,1.054286
regular,160,1.5,1.9125,1.054287
regular,160,1.5,1.9375,1.054291
regular,160,1.5,1.9625,1.054305
regular,160,1.5,1.9875,1.054314
regular,160,1.5,2.0125,1.054306
regular,160,1.5,2.0375,1.054339
regular,160,1.5,2.0625,1.054045
regular,160,1.5,2.0875,1.053047
regular,160,1.5,2.1125,1.054284
regular,160,1.5,2.1375,1.054285
regular,160,1.5,2.1625,1.054285
regular,160,1.5,2.1875,1.054285
regular,160,1.5,2.2125,1.054285
regular,160,1.5,2.2375,1.054285
regular,160,1.5,2.2625,1.054285
regular,160,1.5,2.2875,1.054285
regular,160,1.5,2.3125,1.054285
regular,160,1.5,2.3375,1.054285
regular,160,1.5,2.3625,1.054285
regular,160,1.5,2.3875,1.054285
regular,160,1.5,2.4125,1.054285
regular,160,1.5,2.4375,1.054285
regular,160,1.5,2.4625,1.054285
regular,160,1.5,2.4875,1.054285
regular,160,1.5,2.5125,1.054285
regular,160,1.5,2.5375,1.054285
regular,160,1.5,2.5625,1.054285
regular,160,1.5,2.5875,1.054285
regular,160,1.5,2.6125,1.054285
regular,160,1.5,2.6375,1.054285
regular,160,1.5,2.6625,1.054285
regular,160,1.5,2.6875,1.054285
regular,160,1.5,2.7125,1.054285
regular,160,1.5,2.7375,1.054285
regular,160,1.5,2.7625,1.054285
regular,160,1.5,2.7875,1.054285
regular,160,1.5,2.8125,1.054285
regular,160,1.5,2.8375,1.054285
regular,160,1.5,2.8625,1.054285
