node,x_c,side,regime,region,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
64,0.243247,-1,turbulent,mid,-7.381893e-10,-2.533131e-08,-5.258863e-09,-2.246452e-08,6.191691e-09,-1.340994e-16,2.533131e-08
65,0.263237,-1,turbulent,mid,-7.578360e-09,-1.583450e-08,-1.485144e-08,-1.334587e-08,5.917949e-09,-9.666249e-17,1.583450e-08
66,0.283231,-1,turbulent,mid,-1.817842e-08,-8.563388e-09,-3.171704e-08,-5.176944e-09,5.673565e-09,-6.795995e-17,3.171704e-08
67,0.303227,-1,turbulent,mid,-2.924370e-08,-4.818059e-09,-5.007194e-08,2.179501e-10,5.437878e-09,-4.691305e-17,5.007194e-08
68,0.323222,-1,turbulent,mid,-3.865500e-08,-9.151483e-10,-6.582688e-08,5.561228e-09,5.232439e-09,-3.221045e-17,6.582688e-08
69,0.343215,-1,turbulent,mid,-5.013853e-08,-1.848244e-09,-8.574124e-08,4.929281e-09,5.017573e-09,-2.172870e-17,8.574124e-08
70,0.363206,-1,turbulent,mid,-6.023343e-08,-2.515893e-09,-1.035927e-07,4.653917e-09,4.810679e-09,-1.475087e-17,1.035927e-07
71,0.383193,-1,turbulent,mid,-6.885014e-08,-2.847682e-09,-1.190721e-07,5.134017e-09,4.614099e-09,-1.010541e-17,1.190721e-07
72,0.403176,-1,turbulent,mid,-7.687109e-08,-2.708945e-09,-1.337853e-07,5.962964e-09,4.428769e-09,-6.962279e-18,1.337853e-07
73,0.423154,-1,turbulent,mid,-8.464593e-08,-3.702952e-09,-1.482808e-07,5.144633e-09,4.248561e-09,-4.805247e-18,1.482808e-07
74,0.443127,-1,turbulent,mid,-9.158815e-08,-3.500961e-09,-1.612095e-07,5.903650e-09,4.073528e-09,-3.349575e-18,1.612095e-07
75,0.463095,-1,turbulent,mid,-9.786022e-08,-3.225401e-09,-1.731696e-07,7.573393e-09,3.889885e-09,-2.372449e-18,1.731696e-07
76,0.483058,-1,turbulent,mid,-1.043351e-07,-4.856578e-10,-1.851469e-07,1.166316e-08,3.720190e-09,-1.683889e-18,1.851469e-07
77,0.503015,-1,turbulent,mid,-1.136313e-07,-3.074432e-09,-2.025094e-07,8.661277e-09,3.532512e-09,-1.164867e-18,2.025094e-07
78,0.522966,-1,turbulent,mid,-1.195164e-07,-2.198685e-09,-2.136607e-07,1.026066e-08,3.368127e-09,-8.307134e-19,2.136607e-07
79,0.542912,-1,turbulent,mid,-1.276724e-07,-4.670884e-09,-2.288902e-07,7.608036e-09,3.191556e-09,-5.770984e-19,2.288902e-07
80,0.562852,-1,turbulent,mid,-1.316486e-07,-2.837377e-09,-2.366703e-07,1.083946e-08,3.034725e-09,-4.208036e-19,2.366703e-07
81,0.582786,-1,turbulent,mid,-1.390037e-07,-3.126300e-09,-2.499367e-07,1.078579e-08,2.869396e-09,-2.958250e-19,2.499367e-07
82,0.602715,-1,turbulent,mid,-1.457955e-07,-2.966943e-09,-2.623444e-07,1.192901e-08,2.693188e-09,-2.098037e-19,2.623444e-07
83,0.622638,-1,turbulent,mid,-1.536099e-07,-2.225522e-09,-2.759318e-07,1.355629e-08,2.517271e-09,-1.533723e-19,2.759318e-07
84,0.642556,-1,turbulent,mid,-1.640657e-07,-3.591199e-09,-2.938068e-07,1.210065e-08,2.325441e-09,-1.029179e-19,2.938068e-07
