section,name_or_node,x_c,side,regime,region,energy_fraction
node,126,0.223263,-1,turbulent,mid,8.99248186e-04
node,127,0.233253,-1,turbulent,mid,5.73590387e-04
node,128,0.243246,-1,turbulent,mid,6.81641729e-04
node,129,0.253240,-1,turbulent,mid,5.27410206e-04
node,130,0.263236,-1,turbulent,mid,4.36118327e-04
node,131,0.273232,-1,turbulent,mid,5.05052920e-04
node,132,0.283230,-1,turbulent,mid,4.30309655e-04
node,133,0.293227,-1,turbulent,mid,3.45128623e-04
node,134,0.303225,-1,turbulent,mid,4.62880216e-04
node,135,0.313223,-1,turbulent,mid,3.23247251e-04
node,136,0.323220,-1,turbulent,mid,3.43242860e-04
node,137,0.333217,-1,turbulent,mid,3.61500784e-04
node,138,0.343214,-1,turbulent,mid,3.72677956e-04
node,139,0.353210,-1,turbulent,mid,3.85371395e-04
node,140,0.363205,-1,turbulent,mid,4.05025748e-04
node,141,0.373199,-1,turbulent,mid,4.24607415e-04
node,142,0.383192,-1,turbulent,mid,4.46771789e-04
node,143,0.393184,-1,turbulent,mid,4.72252893e-04
node,144,0.403175,-1,turbulent,mid,4.98994115e-04
node,145,0.413165,-1,turbulent,mid,5.27797445e-04
node,146,0.423153,-1,turbulent,mid,5.58430910e-04
node,147,0.433140,-1,turbulent,mid,5.90433349e-04
node,148,0.443126,-1,turbulent,mid,6.23410999e-04
node,149,0.453111,-1,turbulent,mid,6.56707739e-04
node,150,0.463094,-1,turbulent,mid,6.91013383e-04
