path,alpha,level,eta,side,x_over_c,cp
conforming,0.0,xcoarse,0.20,lower,0.00602,0.457856
conforming,0.0,xcoarse,0.20,lower,0.00639,0.456028
conforming,0.0,xcoarse,0.20,lower,0.00677,0.454200
conforming,0.0,xcoarse,0.20,lower,0.00714,0.452372
conforming,0.0,xcoarse,0.20,lower,0.00752,0.450544
conforming,0.0,xcoarse,0.20,lower,0.00789,0.448716
conforming,0.0,xcoarse,0.20,lower,0.00827,0.446888
conforming,0.0,xcoarse,0.20,lower,0.00865,0.445060
conforming,0.0,xcoarse,0.20,lower,0.00902,0.430123
conforming,0.0,xcoarse,0.20,lower,0.00940,0.413449
conforming,0.0,xcoarse,0.20,lower,0.00977,0.396775
conforming,0.0,xcoarse,0.20,lower,0.01015,0.380102
conforming,0.0,xcoarse,0.20,lower,0.01053,0.363428
conforming,0.0,xcoarse,0.20,lower,0.01090,0.346755
conforming,0.0,xcoarse,0.20,lower,0.01128,0.330081
conforming,0.0,xcoarse,0.20,lower,0.01165,0.313408
conforming,0.0,xcoarse,0.20,lower,0.01203,0.296734
conforming,0.0,xcoarse,0.20,lower,0.01241,0.280060
conforming,0.0,xcoarse,0.20,lower,0.01278,0.263387
conforming,0.0,xcoarse,0.20,lower,0.01316,0.246713
