node,x_c,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
87,0.7022737806004116,-1.618364962125863e-07,1.9090910357711906e-09,-2.991559419549208e-07,1.9271193337098814e-08,2.8777142978740103e-10,2.6054988758324764e-16,2.991559419549208e-07
88,0.7221684918157416,-1.7538984625011857e-07,6.219657748482932e-09,-3.2060953137270604e-07,2.4556106876337064e-08,2.613255555621538e-10,2.1079840218995132e-16,3.2060953137270604e-07
89,0.7420574189604031,-1.9163303304450173e-07,1.1215682293689477e-09,-3.459198408120229e-07,2.075563365986068e-08,1.908561401817408e-10,1.7001732875671714e-16,3.459198408120229e-07
90,0.7619404671825559,-2.1011912947098536e-07,5.4123400459875826e-09,-3.7420442840564686e-07,2.5996114015282857e-08,8.223672241914759e-11,1.372357080814619e-16,3.7420442840564686e-07
91,0.7818175284371424,-2.3505274921065725e-07,1.2032413349357114e-08,-4.124767552164263e-07,3.3605096639427706e-08,-8.4739652945045e-11,1.115274500372516e-16,4.124767552164263e-07
92,0.8016884377815989,-2.6386371188113534e-07,5.128720598074545e-09,-4.5594791044597946e-07,2.9833280125795745e-08,-2.9645391695982425e-10,9.062264296178547e-17,4.5594791044597946e-07
93,0.8215530269628002,-2.9195786999174877e-07,-2.55379656056638e-09,-4.96952953586697e-07,2.4313114346306324e-08,-5.927022648473152e-10,7.26419181644853e-17,4.96952953586697e-07
94,0.8414110738440792,-3.6202222784839613e-07,6.504290558626956e-08,-6.034431931713962e-07,8.467810761885707e-08,-9.548711156604319e-10,6.034609335615137e-17,6.034431931713962e-07
95,0.861262312205792,-4.435790165628663e-07,8.268715376568405e-08,-7.281345669478104e-07,1.0793827540839694e-07,-1.5126469520066326e-09,5.0983025185643157e-17,7.281345669478104e-07
96,0.8811064590053851,-4.458539861887958e-07,1.5669584465218937e-08,-7.226582950660327e-07,5.2621593754450326e-08,-2.1959053186163638e-09,4.0233636660894566e-17,7.226582950660327e-07
97,0.9009431731644066,-1.2593262984944799e-06,-1.0469597425564422e-07,-1.936979518797198e-06,1.690419045729901e-08,9.389130748095625e-10,3.1938706815996865e-17,1.936979518797198e-06
98,0.9207720698474694,-1.3410250043523e-06,6.475805267403312e-07,-2.099247292729462e-06,5.892641468753954e-07,-1.5923154145331056e-09,2.5094263828209582e-17,2.099247292729462e-06
99,0.9405927117469104,-1.996066218414317e-06,5.162988576616097e-07,-2.8380212525324235e-06,5.682444781278341e-07,-1.0043427682619368e-09,1.728874343158404e-17,2.8380212525324235e-06
100,0.9604046246742521,-1.2465537424380522e-06,-7.770205343240486e-07,-2.1655431768450185e-06,-5.529636189195354e-07,-8.748921410198324e-09,1.4964544178708322e-17,2.1655431768450185e-06
101,0.9802072514303906,3.500966153311362e-06,-1.621793481535335e-07,4.760896245874865e-06,-4.6612023711130225e-07,-1.5831785366915902e-08,8.596799480888458e-18,4.760896245874865e-06
102,1.0,-6.121535233507849e-07,6.395970692314272e-07,-8.541432245288363e-07,6.194486207793809e-07,-1.2900301215469699e-09,4.52435435593288e-18,8.541432245288363e-07
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.9802072513029619,1.0468473705265926e-05,-0.0001569625413047606,-6.054579472639985e-05,-0.0007622050652383365,1.81340372530086e-05,2.9332894744856545e-17,0.0007622050652383365
105,0.9604046244096258,-0.0002542555270692674,8.832746047150249e-05,-8.78432386231663e-05,0.0005238326282553626,-7.017754465985057e-06,-1.510975188912299e-17,0.0005238326282553626
106,0.9405927113958874,9.41352483651107e-05,5.024576929540761e-05,0.00027005533741123134,0.00010724918111482668,-1.0629794600057132e-05,-3.884240175441217e-17,0.00027005533741123134
107,0.9207720693850489,-0.00024599615330683056,-1.4485162862956365e-05,-0.0004480798069392217,-6.55033306420026e-05,8.299773241463673e-08,-5.2067629960317224e-17,0.0004480798069392217
108,0.9009431725695665,0.0012854748063894936,4.567075079441732e-05,-0.004643719747382173,0.00615932419371065,3.101041252111093e-07,-1.2350125619205658e-17,0.00615932419371065
109,0.8811064582899526,-0.00030587995718954725,-0.00010743227685061006,0.00018136254184764056,-0.0037384451071760076,-1.0295319749109151e-06,-3.282675614780777e-17,0.0037384451071760076
110,0.8612623113835848,-0.0013327136399278049,-0.0001884945410319297,0.004748504346247074,-0.008716181609165706,-1.8573639592323808e-06,-1.9837801745587e-18,0.008716181609165706
111,0.8414110728930805,-5.253716217012988e-05,-1.7925113613447486e-06,-3.9086743037315085e-05,2.779964903871977e-06,-3.199755184217802e-07,-5.31978703277414e-19,5.253716217012988e-05
112,0.8215530259075603,-6.7596511217073274e-06,8.968285990972108e-06,-1.7165302239939337e-05,8.980908582990336e-06,-1.4410397193598594e-07,-7.385205495954318e-19,1.7165302239939337e-05
113,0.8016884366173158,-4.6367465177019465e-06,-1.1522909307739284e-07,-8.194599995667592e-06,1.068054029299331e-07,-3.386815145709617e-08,-6.320404763367571e-21,8.194599995667592e-06
114,0.7818175271422606,-6.872424987322411e-07,3.5531701196525555e-07,-1.3761458924206055e-06,3.5247720396436227e-07,-1.3960844518032369e-08,-4.76387977801096e-20,1.3761458924206055e-06
115,0.761940465772245,-3.3350044013784373e-07,2.649041734529373e-07,-5.900862133264807e-07,2.5408369804334366e-07,-7.583924232223076e-09,-8.889583078805909e-21,5.900862133264807e-07
116,0.7420574174317601,-2.8573304338823483e-07,7.1262623873907e-08,-5.073886510521557e-07,8.50916811507592e-08,-3.918832994652454e-09,-1.3694418565612466e-22,5.073886510521557e-07
117,0.7221684901795281,-4.3287904702112694e-07,1.8711106016719824e-08,-7.914016130863009e-07,3.978375638302393e-08,-3.200037975382335e-09,-1.1129861764771485e-20,7.914016130863009e-07
118,0.7022737788555108,-3.324850183238373e-07,-4.474731396467107e-09,-5.983704125240681e-07,1.6751132412298308e-08,-2.168359690181747e-09,-3.0791221516817212e-21,5.983704125240681e-07
119,0.6823733583783234,-3.219842343344628e-07,5.429941657797026e-09,-5.837967611535811e-07,2.5874438055620946e-08,-1.813108790397853e-09,-4.2591307404019795e-21,5.837967611535811e-07
120,0.6624672572574035,-3.3753255257306805e-07,8.08357029728902e-09,-6.192552893373092e-07,2.8922025781542448e-08,-1.624415651792816e-09,-7.964183939147572e-21,6.192552893373092e-07
121,0.642555514474314,-3.094322117214432e-07,5.559583072609392e-09,-5.674054529050537e-07,2.6580522922773424e-08,-1.1795277006749875e-09,-7.57429899874687e-21,5.674054529050537e-07
122,0.622638138460719,-3.023558787557086e-07,7.767741474747621e-09,-5.567754480423543e-07,2.747812653700235e-08,-9.154358441372162e-10,-9.56127698310823e-21,5.567754480423543e-07
123,0.6027151162461671,-3.019995362511135e-07,7.775116959850393e-09,-5.586103240547303e-07,2.581564379005913e-08,-6.737448203821276e-10,-1.2363348014070883e-20,5.586103240547303e-07
124,0.5827864427584049,-2.924244994015469e-07,-8.173306225593026e-10,-5.417284220420364e-07,1.6183359585921494e-08,-3.5330613479959807e-10,-1.4728586057251052e-20,5.417284220420364e-07
125,0.5628521106635334,-2.86041681732409e-07,-1.3523013259248772e-09,-5.3121141929121e-07,1.6374620197635627e-08,-8.617027063212696e-11,-1.812680157479136e-20,5.3121141929121e-07
126,0.5429121010905046,-2.8036075838025315e-07,1.186199344786523e-09,-5.218533712308918e-07,1.9331988992671716e-08,1.85275021814304e-10,-2.2350199828460457e-20,5.218533712308918e-07
127,0.5229664047780744,-2.7510252237475995e-07,3.6818613612719616e-09,-5.127865946167114e-07,2.2140126421999923e-08,4.629147779540091e-10,-2.7370245182279276e-20,5.127865946167114e-07
128,0.503015042725527,-2.701376937705932e-07,2.7399170499050484e-09,-5.044778331870186e-07,2.0579787386228447e-08,7.532813624483965e-10,-3.379055547423566e-20,5.044778331870186e-07
129,0.48305805202645946,-2.660819353742034e-07,1.3114704513919195e-09,-4.979832288164797e-07,1.849484647825567e-08,1.039783958401803e-09,-4.152130699570834e-20,4.979832288164797e-07
130,0.46309549652479826,-2.6126755324754223e-07,-5.876416177624264e-10,-4.898846585581795e-07,1.6338635071708043e-08,1.3420054775866554e-09,-5.066901574606006e-20,4.898846585581795e-07
131,0.4431274882232338,-2.567061508990307e-07,-1.0398247352045811e-09,-4.82458724452756e-07,1.6144452064798498e-08,1.6422449323316879e-09,-6.186518256953641e-20,4.82458724452756e-07
132,0.42315421185282287,-2.516324061906206e-07,-1.9604673917200316e-09,-4.7423158551509636e-07,1.5346261149111585e-08,1.9584031888591563e-09,-7.498995709391435e-20,4.7423158551509636e-07
133,0.40317591846124584,-2.4598718288911295e-07,-2.377736495509203e-09,-4.6526318384344034e-07,1.548028234986209e-08,2.2791174786876207e-09,-8.99129742287914e-20,4.6526318384344034e-07
134,0.3831929544222934,-2.4138383213889015e-07,-3.4129280618525853e-09,-4.5872512501336176e-07,1.4241795579140732e-08,2.602403440048624e-09,-1.073996474953465e-19,4.5872512501336176e-07
135,0.36320579572874384,-2.380826693090534e-07,-8.618125972958465e-09,-4.5507692184314604e-07,7.947185907336334e-09,2.937952071165814e-09,-1.270812361107112e-19,4.5507692184314604e-07
136,0.34321507758318626,-2.3570732750050656e-07,-1.6450290392772346e-08,-4.539458600766305e-07,-5.414570896102019e-10,3.2649775419005904e-09,-1.44518259409135e-19,4.539458600766305e-07
137,0.3232216244094982,-2.3398837419099857e-07,-2.849994596384253e-08,-4.5494617600942094e-07,-1.2953166453944442e-08,3.5987305117609944e-09,-1.5747030137615266e-19,4.5494617600942094e-07
138,0.3032265131406656,-2.3147845483296369e-07,-4.895632420406298e-08,-4.5566307576665617e-07,-3.42923589317722e-08,3.932306041096128e-09,-1.6292394291799172e-19,4.5566307576665617e-07
139,0.2832311380891473,-2.198261928468358e-07,-9.00756399760755e-08,-4.3931707947606734e-07,-7.840463623775193e-08,4.260000750403433e-09,-1.4401198765603444e-19,4.3931707947606734e-07
140,0.26323730059671746,-1.7714643591712665e-07,-1.479135517457648e-07,-3.6059545030024316e-07,-1.417782448695544e-07,4.621094643388959e-09,-7.390772874604546e-20,3.6059545030024316e-07
141,0.24324733138979288,-1.3118309834827462e-07,-2.413058716958138e-07,-2.7253071346313804e-07,-2.5796195381546176e-07,5.215623888266115e-09,1.7455649526111174e-19,2.7253071346313804e-07
142,0.22326426555089093,-1.1753422971396217e-07,2.7513988013957647e-07,-2.435475723921262e-07,3.3802310887353243e-07,5.466989774014619e-09,-1.064764216086181e-18,3.3802310887353243e-07
143,0.20329208732221482,-1.4983970486831323e-07,3.8528464118597484e-07,-2.9492667819229705e-07,4.5901212134775297e-07,7.291746610572424e-09,3.2764352852277708e-18,4.5901212134775297e-07
144,0.18333609760198502,-1.808519021240412e-07,-4.923862217583701e-08,-3.641736165132311e-07,-6.541425150204075e-08,1.2565486156442892e-08,-2.0545316249686934e-17,3.641736165132311e-07
