state,z,gamma,resid_localfit,abs_F,d_up,d_lo,asym,dz_up,dz_lo,shared_up,shared_lo
conf_picard_medium,0.76390,0.079567,0.000032,2.83e-04,0.00732,0.00745,0.0089,0.00550,0.00558,1,1
conf_picard_medium,0.77111,0.079567,0.000407,2.83e-04,0.00705,0.00715,0.0069,0.00170,0.00163,1,1
conf_picard_medium,0.77832,0.079112,0.000439,2.75e-04,0.00739,0.00728,0.0075,0.00181,0.00182,0,0
conf_picard_medium,0.78552,0.078283,0.000195,2.58e-04,0.00761,0.00718,0.0288,0.00596,0.00529,1,1
conf_picard_medium,0.79273,0.078283,0.000818,2.58e-04,0.00685,0.00713,0.0203,0.00124,0.00192,1,1
conf_picard_medium,0.79994,0.077850,0.000991,2.54e-04,0.00700,0.00725,0.0179,0.00163,0.00202,0,0
conf_picard_medium,0.80714,0.076984,0.000684,2.51e-04,0.00736,0.00738,0.0011,0.00177,0.00203,0,0
conf_picard_medium,0.81435,0.073169,0.002624,2.52e-04,0.00748,0.00752,0.0024,0.00186,0.00538,0,0
conf_picard_medium,0.82156,0.072712,0.002593,2.50e-04,0.00748,0.00749,0.0009,0.00185,0.00535,0,0
conf_picard_medium,0.82876,0.074270,0.000515,2.48e-04,0.00749,0.00737,0.0078,0.00535,0.00533,0,0
conf_picard_medium,0.83597,0.074223,0.000036,2.43e-04,0.00744,0.00734,0.0073,0.00531,0.00533,0,1
conf_picard_medium,0.84318,0.076139,0.002654,2.38e-04,0.00732,0.00730,0.0012,0.00517,0.00188,0,1
conf_picard_medium,0.85038,0.075743,0.003059,2.28e-04,0.00719,0.00744,0.0172,0.00508,0.00183,0,0
conf_picard_medium,0.85759,0.072067,0.000256,2.11e-04,0.00716,0.00747,0.0213,0.00519,0.00534,1,0
conf_picard_medium,0.86480,0.069737,0.001153,2.06e-04,0.00723,0.00747,0.0162,0.00202,0.00534,1,1
conf_picard_medium,0.87200,0.070786,0.000839,2.01e-04,0.00743,0.00748,0.0034,0.00190,0.00187,0,1
