side,x,re_theta_xfoil,theta_x,theta_o,ctau_x,ctau_o,ctau_eq_o,delta_o,s
side_b,0.19442,1120.8763799999997,0.000339,0.00033848058813381243,0.0014714895999999999,0.0014718050479615662,0.001451173202588618,0.002871675908065302,0.2050400000000001
side_b,0.20324,1174.5884999999998,0.000355,0.00035457980423944636,0.001462144644,0.00146240195828275,0.0014429691699093734,0.0030152003748885456,0.21388000000000007
side_b,0.21211,1231.0819199999999,0.000372,0.00037114247931225593,0.001454201956,0.0014544537934562689,0.0014377229005875544,0.00316136484817272,0.22276000000000007
side_b,0.22103,1284.5321999999999,0.000388,0.00038737144492289596,0.001445672484,0.0014459222660929381,0.001429846782558385,0.0033067398750745583,0.23168999999999995
side_b,0.22999,1337.4298800000001,0.000404,0.0004040734970702605,0.0014384573290000002,0.0014387070635740065,0.001424888118192909,0.0034546634611787724,0.24065000000000003
side_b,0.23898,1393.5941999999998,0.000421,0.0004207303803177367,0.0014313358889999999,0.0014315931046606433,0.0014191552011862988,0.0036030915836737726,0.24965000000000015
side_b,0.24801,1449.74934,0.000438,0.00043731903659641327,0.001424232121,0.0014244778210946646,0.0014128145499309698,0.003751782349943654,0.2586900000000001
side_b,0.25707,1505.2810499999998,0.000455,0.0004544281151466185,0.001418350921,0.0014185773037900494,0.0014091833823190298,0.003903213150482058,0.26775000000000015
side_b,0.26616,1561.0125599999997,0.000472,0.00047121826865025127,0.0014120309289999999,0.0014122454006089157,0.0014034487026562904,0.004053905242287173,0.27684
side_b,0.27528,1616.4432899999995,0.000489,0.00048822190830092417,0.0014061750009999997,0.0014063901439523348,0.0013986656570086097,0.004206005932006057,0.28596
side_b,0.28442,1671.43944,0.000506,0.0005055443733692596,0.0014010048999999998,0.0014012289102067498,0.0013951385661649797,0.004360051643484792,0.29510000000000014
side_b,0.29359,1726.63743,0.000523,0.0005225520341979746,0.001395470736,0.001395631938257224,0.0013898330828296932,0.004513313914355601,0.30427000000000004
side_b,0.30278,1781.3195999999998,0.00054,0.0005399750461135635,0.0013906186809999998,0.0013907819234107697,0.0013862778518155946,0.004668823905712454,0.31346000000000007
