i,residual,drho,dgamma,gamma_mean,gamma_root,n_lin_solves,n_lin_iters,n_refactor,n_limited,n_floored,wall_cum_s,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta
210,7.395e-05,0.01269938,0.00094002,0.21808788,0.21808788,1,0,0,0,0,17.92807062,0.0,0.0304902,0.0,0.03508423,0.00198683,5.594e-05
211,7.419e-05,0.01277989,0.00093905,0.21855741,0.21855741,1,0,0,0,0,17.99345471,0.0,0.02923389,0.0,0.03417877,0.00188223,5.868e-05
212,7.442e-05,0.01241541,0.00095837,0.21903659,0.21903659,1,0,0,0,0,18.05995758,0.0,0.02961053,0.0,0.03492084,0.001885,5.266e-05
213,7.468e-05,0.01209673,0.0009918,0.21953249,0.21953249,1,0,0,0,0,18.12470146,0.0,0.02863713,0.0,0.03420283,0.00182503,5.079e-05
214,7.498e-05,0.01196755,0.0010274,0.22004619,0.22004619,1,0,0,0,0,18.18912822,0.0,0.02819809,0.0,0.03418608,0.00194075,6.831e-05
215,7.531e-05,0.01559603,0.00101024,0.22055131,0.22055131,1,0,0,0,0,18.25468155,0.0,0.02941584,0.0,0.03417244,0.00188242,5.251e-05
216,7.565e-05,0.0122956,0.00099308,0.22104785,0.22104785,1,0,0,0,0,18.31913224,0.0,0.02836919,0.0,0.034191,0.0018101,5.184e-05
217,7.595e-05,0.01178471,0.00098785,0.22154177,0.22154177,1,0,0,0,0,18.38268602,0.0,0.02810101,0.0,0.03356448,0.00181074,5.03e-05
218,7.626e-05,0.01161668,0.00099035,0.22203695,0.22203695,1,0,0,0,0,18.44779632,0.0,0.02878788,0.0,0.03439135,0.00185161,5.268e-05
219,7.654e-05,0.01135373,0.00097902,0.22252646,0.22252646,1,0,0,0,0,18.51320211,0.0,0.02903613,0.0,0.03442755,0.00186346,5.031e-05
220,7.683e-05,0.01600699,0.00096627,0.22300959,0.22300959,1,0,0,0,0,18.57848273,0.0,0.0288069,0.0,0.03448354,0.00190716,5.172e-05
221,7.709e-05,0.01149238,0.00095449,0.22348684,0.22348684,1,0,0,0,0,18.64432077,0.0,0.02925623,0.0,0.03466501,0.00183868,4.889e-05
222,7.735e-05,0.01139276,0.00094287,0.22395827,0.22395827,1,0,0,0,0,18.70963072,0.0,0.0290273,0.0,0.03437325,0.00183236,4.953e-05
223,7.758e-05,0.01117086,0.00094003,0.22442829,0.22442829,1,0,0,0,0,18.77472436,0.0,0.02864351,0.0,0.0345024,0.00186192,5.6e-05
224,7.782e-05,0.01083481,0.000937,0.22489679,0.22489679,1,0,0,0,0,18.84068896,0.0,0.0291801,0.0,0.0348355,0.001869,5.104e-05
225,7.807e-05,0.02255114,0.0009378,0.22536569,0.22536569,1,0,0,0,0,18.9070772,0.0,0.0290253,0.0,0.0352106,0.00201735,9.576e-05
226,7.832e-05,0.03371785,0.00091731,0.22582434,0.22582434,1,0,0,0,0,18.97501332,0.0,0.03047455,0.0,0.03537386,0.00198332,6.978e-05
227,7.856e-05,0.02549569,0.00090707,0.22627788,0.22627788,1,0,0,0,0,19.04156686,0.0,0.0297485,0.0,0.03487041,0.00185531,5.182e-05
228,7.878e-05,0.02894277,0.00091901,0.22673738,0.22673738,1,0,0,0,0,19.10585911,0.0,0.02866236,0.0,0.03371474,0.00182839,5.923e-05
229,7.9e-05,0.01554063,0.00092155,0.22719816,0.22719816,1,0,0,0,0,19.17048356,0.0,0.02880862,0.0,0.0339004,0.00182259,4.852e-05
230,7.924e-05,0.02177822,0.00101368,0.227705,0.227705,1,0,0,0,0,19.23532824,0.0,0.02876662,0.0,0.03417876,0.0018225,4.888e-05
231,7.956e-05,0.01056541,0.00102757,0.22821878,0.22821878,1,0,0,0,0,19.29937282,0.0,0.0284151,0.0,0.03376076,0.00179122,5.079e-05
232,7.994e-05,0.00857035,0.00101408,0.22872582,0.22872582,1,0,0,0,0,19.3636375,0.0,0.02841946,0.0,0.03394603,0.00182343,4.8e-05
233,8.031e-05,0.00829982,0.00099629,0.22922397,0.22922397,1,0,0,0,0,19.42844402,0.0,0.02838138,0.0,0.0345224,0.00181881,5.502e-05
234,8.063e-05,0.01096522,0.00096964,0.22970879,0.22970879,1,0,0,0,0,19.49351741,0.0,0.02865659,0.0,0.03447952,0.00185878,5.181e-05
235,8.095e-05,0.02186164,0.00096075,0.23018916,0.23018916,1,0,0,0,0,19.55881798,0.0,0.02887088,0.0,0.03452645,0.00181814,5.755e-05
236,8.122e-05,0.01061541,0.00093743,0.23065788,0.23065788,1,0,0,0,0,19.62486692,0.0,0.02889652,0.0,0.03510775,0.00194047,7.065e-05
237,8.147e-05,0.00867383,0.00094647,0.23113111,0.23113111,1,0,0,0,0,19.69234707,0.0,0.03039818,0.0,0.03512026,0.00188042,5.143e-05
238,8.178e-05,0.00878504,0.0009252,0.23159371,0.23159371,1,0,0,0,0,19.75764421,0.0,0.02921713,0.0,0.03417885,0.00182434,4.94e-05
239,8.2e-05,0.02123955,0.00093492,0.23206117,0.23206117,1,0,0,0,0,19.82224049,0.0,0.02868393,0.0,0.03401028,0.00182413,4.956e-05
240,8.226e-05,0.01107011,0.00092697,0.23252466,0.23252466,1,0,0,0,0,19.88703637,0.0,0.02839726,0.0,0.03449596,0.00182533,4.928e-05
241,8.253e-05,0.00829315,0.00091499,0.23298215,0.23298215,1,0,0,0,0,19.95362004,0.0,0.02912909,0.0,0.03528911,0.00204325,8.496e-05
242,8.276e-05,0.00820667,0.00094194,0.23345312,0.23345312,1,0,0,0,0,20.01978209,0.0,0.02941345,0.0,0.03480786,0.00185673,5.281e-05
243,8.306e-05,0.02129126,0.00090565,0.23390595,0.23390595,1,0,0,0,0,20.08565214,0.0,0.02932095,0.0,0.03461615,0.00185161,5.062e-05
244,8.328e-05,0.01115312,0.00098263,0.23439727,0.23439727,1,0,0,0,0,20.15032282,0.0,0.02872775,0.0,0.03406278,0.00180229,5.079e-05
245,8.363e-05,0.00729811,0.0009326,0.23486357,0.23486357,1,0,0,0,0,20.21541373,0.0,0.02867699,0.0,0.03445948,0.00187704,4.959e-05
246,8.386e-05,0.00656585,0.00096483,0.23534598,0.23534598,1,0,0,0,0,20.28034269,0.0,0.02914299,0.0,0.03386858,0.00183949,5.049e-05
247,8.422e-05,0.0214029,0.00095308,0.23582252,0.23582252,1,0,0,0,0,20.34561543,0.0,0.02851425,0.0,0.03481533,0.00186644,4.965e-05
248,8.448e-05,0.01119987,0.00104102,0.23634303,0.23634303,1,0,0,0,0,20.41136289,0.0,0.02887222,0.0,0.03488902,0.00189643,5.919e-05
249,8.491e-05,0.00704998,0.00101338,0.23684972,0.23684972,1,0,0,0,0,20.47720855,0.0,0.0295111,0.0,0.03439314,0.00185407,5.836e-05
250,8.528e-05,0.00640323,0.00100129,0.23735036,0.23735036,1,0,0,0,0,20.54271851,0.0,0.02889081,0.0,0.03462191,0.00190096,6.193e-05
251,8.567e-05,0.02152821,0.00097832,0.23783952,0.23783952,1,0,0,0,0,20.60884829,0.0,0.02937644,0.0,0.03468688,0.00196675,6.5e-05
252,8.603e-05,0.01123539,0.00095664,0.23831784,0.23831784,1,0,0,0,0,20.67560548,0.0,0.02991877,0.0,0.03477652,0.00195104,7.522e-05
253,8.634e-05,0.00827084,0.0009362,0.23878593,0.23878593,1,0,0,0,0,20.74260182,0.0,0.02991209,0.0,0.03509055,0.00190937,5.275e-05
254,8.661e-05,0.00902226,0.00091907,0.23924547,0.23924547,1,0,0,0,0,20.80788494,0.0,0.02906265,0.0,0.03432593,0.00181575,5.066e-05
255,8.687e-05,0.0216671,0.00090392,0.23969743,0.23969743,1,0,0,0,0,20.87251656,0.0,0.02868719,0.0,0.03397483,0.00186478,7.404e-05
256,8.71e-05,0.01294054,0.00089178,0.24014332,0.24014332,1,0,0,0,0,20.93805624,0.0,0.02936522,0.0,0.03429257,0.0018046,5.128e-05
257,8.731e-05,0.01215103,0.00088074,0.24058369,0.24058369,1,0,0,0,0,21.00281592,0.0,0.02888988,0.0,0.03396855,0.00182272,5.152e-05
258,8.752e-05,0.0117786,0.00087377,0.24102058,0.24102058,1,0,0,0,0,21.06682681,0.0,0.02816532,0.0,0.03395445,0.00181415,5.013e-05
259,8.771e-05,0.0218228,0.00087039,0.24145577,0.24145577,1,0,0,0,0,21.13199183,0.0,0.02861683,0.0,0.03466886,0.0018032,4.87e-05
260,8.789e-05,0.0129052,0.00089561,0.24190358,0.24190358,1,0,0,0,0,21.19665893,0.0,0.02824867,0.0,0.03442955,0.00190067,5.895e-05
261,8.809e-05,0.01444745,0.00090806,0.24235761,0.24235761,1,0,0,0,0,21.26212084,0.0,0.02917497,0.0,0.03435162,0.00185432,5.117e-05
262,8.831e-05,0.01545447,0.00093283,0.24282402,0.24282402,1,0,0,0,0,21.32648141,0.0,0.02868995,0.0,0.03378928,0.00180433,4.903e-05
263,8.855e-05,0.03771165,0.00093715,0.2432926,0.2432926,1,0,0,0,0,21.39114065,0.0,0.02852496,0.0,0.03425924,0.00179627,4.988e-05
264,8.88e-05,0.02434883,0.00096728,0.24377624,0.24377624,1,0,0,0,0,21.45564609,0.0,0.02850848,0.0,0.03403287,0.00188758,4.987e-05
265,8.908e-05,0.02871616,0.00099639,0.24427443,0.24427443,1,0,0,0,0,21.52147203,0.0,0.0292366,0.0,0.03464401,0.00185997,5.799e-05
266,8.939e-05,0.02911856,0.00108321,0.24481604,0.24481604,1,0,0,0,0,21.58723552,0.0,0.02896789,0.0,0.03482956,0.0018785,5.824e-05
267,8.978e-05,0.02219446,0.00112045,0.24537626,0.24537626,1,0,0,0,0,21.65331644,0.0,0.02939898,0.0,0.0347118,0.00188864,5.292e-05
268,9.023e-05,0.02010309,0.00099248,0.2458725,0.2458725,1,0,0,0,0,21.71822727,0.0,0.02898128,0.0,0.03402618,0.00182104,5.315e-05
269,9.059e-05,0.02034691,0.00091435,0.24632968,0.24632968,1,0,0,0,0,21.78352778,0.0,0.02883926,0.0,0.03454964,0.00183142,5.106e-05
270,9.083e-05,0.01989299,0.00086621,0.24676278,0.24676278,1,0,0,0,0,21.85000253,0.0,0.02971062,0.0,0.03477176,0.00190946,5.257e-05
271,9.1e-05,0.0224205,0.00084173,0.24718364,0.24718364,1,0,0,0,0,21.91509952,0.0,0.02906643,0.0,0.03405164,0.001891,5.69e-05
