arm,s,x,turbulent,ue,theta_x,theta_o,H_x,H_o,cf_x,cf_o,ctau_x,ctau_o,march
equil,0.27684,0.26616,1,1.10241,0.000472,0.000469730805143963,1.427,1.428858845398766,0.0035653518977831382,0.003559834383528955,0.0014120309289999999,0.0014108371368011156,A_whole
equil,0.28596,0.27528,1,1.10187,0.000489,0.00048670501354082556,1.426,1.4273139201517215,0.0035375488871269897,0.00353230013136602,0.0014061750009999997,0.001405426194123595,A_whole
equil,0.29510000000000014,0.28442,1,1.10108,0.000506,0.0005040004833665934,1.425,1.4260521892540194,0.0035088090718762978,0.0035043168047689155,0.0014010048999999998,0.0014012363804365904,A_whole
equil,0.30427000000000004,0.29359,1,1.10047,0.000523,0.0005209854110888476,1.423,1.4244517902558067,0.00348379915875918,0.0034803691618709607,0.001395470736,0.001395324497411148,A_whole
equil,0.31346000000000007,0.30278,1,1.09958,0.00054,0.0005383873823335193,1.422,1.4232556577368993,0.003458012060454986,0.003454920745913284,0.0013906186809999998,0.0013912275889194526,A_whole
equil,0.32267,0.31199,1,1.09863,0.000558,0.0005558598989977632,1.421,1.4220674801394022,0.0034333402010990823,0.00343073014357239,0.0013859239839999998,0.0013870755586685764,A_whole
equil,0.33191000000000015,0.32122,1,1.09764,0.000575,0.0005733980192766817,1.42,1.4208819945270255,0.0034096561523322337,0.0034077288324528728,0.001381460224,0.0013828525405561074,A_whole
equil,0.34116000000000013,0.33047,1,1.09663,0.000593,0.0005909419271396294,1.419,1.419699904762255,0.00338683598182786,0.003385911885706918,0.0013770778810000002,0.0013785657493721626,A_whole
equil,0.35041999999999995,0.33974,1,1.09535,0.000611,0.0006089595289687191,1.418,1.4188616017590665,0.003363083992528878,0.0033627233836499783,0.0013733694810000002,0.001375834823647408,A_whole
equil,0.35971,0.34903,1,1.09445,0.000628,0.000626273062039026,1.417,1.417431900952412,0.0033452416184765674,0.003344752237959527,0.0013687780090000001,0.0013702411765834886,A_whole
equil,0.36901000000000006,0.35833,1,1.09306,0.000647,0.0006445348076474793,1.416,1.4167405628672494,0.0033219500297368356,0.0033225501274015226,0.001365450304,0.0013680769009817573,A_whole
equil,0.37833000000000006,0.36764,1,1.09185,0.000664,0.0006624456385429282,1.415,1.415711532853344,0.003302474386063815,0.003303590940446255,0.0013616838010000003,0.0013642625102489871,A_whole
equil,0.3876600000000001,0.37697,1,1.09057,0.000683,0.0006805034264971533,1.415,1.4147850320925672,0.003283325539039409,0.003284795627443393,0.0013581436089999998,0.0013608797807573068,A_whole
equil,0.3970100000000001,0.38631,1,1.08917,0.000701,0.0006988397484586357,1.414,1.414006460348011,0.0032639538334554826,0.0032657517601372144,0.0013549761000000002,0.0013581484160082472,A_whole
equil,0.4063700000000001,0.39567,1,1.0879,0.000719,0.0007169035955935333,1.413,1.4130244258100064,0.0032470758299343733,0.00324889588457106,0.0013514446440000003,0.0013544122369200532,A_whole
equil,0.41574,0.40503,1,1.0863,0.000738,0.0007357270779046718,1.412,1.4125079527173796,0.003226988224518282,0.003229546787512872,0.0013488725290000001,0.0013528302777451268,A_whole
equil,0.42513,0.41441,1,1.08503,0.000756,0.0007538267144480629,1.412,1.4114764757352662,0.0032116128362156015,0.0032143923189528337,0.001345495761,0.001348783285728663,A_whole
